Lokasi,Jenis_Layanan,Anggaran_Proyek_IDR,Nilai_Kontrak_Konsultan_IDR,Status,Durasi_Bulan,Jumlah_Proyek,Progress_Fisik
17,1,2.5928657342700485,11031797972,1,-0.17113446088563564,-0.7209473371450428,-1.1650283329875502
6,1,1.1048732037308429,5068693150,1,0.48581164616095046,-0.7209473371450428,-1.1650283329875502
19,5,-0.6311180818982303,503548736,0,-0.006897934123989123,-1.4144993690306058,0.6157947432033691
19,3,-0.4296190933877128,793029250,1,-1.485026674978808,0.6661567266260835,-1.1650283329875502
19,0,-0.8016172260225142,280640146,1,-0.8280805679322217,1.3597087585116465,-1.1650283329875502
21,4,-0.5691183931257633,542869840,2,-0.006897934123989123,1.3597087585116465,1.1477289088188385
1,1,0.4538764716199405,2641622729,0,1.3069942799691832,-0.02739530525947965,0.5464120259491774
17,1,1.2288725812757768,2959122444,0,-1.1565536214555148,0.6661567266260835,0.6157947432033691
0,3,-0.7086176928638138,277877144,1,1.635467333492476,-0.02739530525947965,-1.1650283329875502
19,2,2.7788648005874492,13840254295,1,1.1427577532075366,-0.7209473371450428,-1.1650283329875502
15,4,-0.2436200270703121,1470414821,0,0.650048172922597,0.6661567266260835,-0.9568801812249752
9,4,-0.44511901558082956,823988153,0,-0.006897934123989123,0.6661567266260835,-0.6330941673720808
19,1,0.2523774831094231,2197544666,1,1.4712308067308295,1.3597087585116465,-1.1650283329875502
7,6,-0.6156181597051135,340899792,0,-0.006897934123989123,1.3597087585116465,0.823942894965944
8,4,-0.2901197936496623,1096942032,2,-0.17113446088563564,-1.4144993690306058,1.1477289088188385
17,5,-0.6001182375119968,909583113,2,-1.1565536214555148,-1.4144993690306058,1.1477289088188385
13,3,-0.6001182375119968,402069021,0,-0.9923170946938683,-1.4144993690306058,-1.0262628984791669
4,0,-0.8016172260225142,289944918,1,0.650048172922597,-1.4144993690306058,-1.1650283329875502
11,3,-0.49161878216017973,1084883449,2,-1.1565536214555148,1.3597087585116465,1.1477289088188385
21,2,2.267367368214597,4475906032,0,0.1573385926376574,0.6661567266260835,0.15324329484209126
7,1,0.143878027757606,3607322126,0,0.650048172922597,1.3597087585116465,-0.19367029142886694
9,4,-0.3676194046152459,1814165383,2,0.32157511939930394,-0.02739530525947965,1.1477289088188385
8,5,-0.646618004091347,893388377,1,-1.485026674978808,-0.02739530525947965,-1.1650283329875502
7,6,-0.755117459443164,329006403,1,-1.1565536214555148,-0.02739530525947965,-1.1650283329875502
14,4,-0.7396175372500473,384978365,0,-1.6492632017404545,-1.4144993690306058,0.7776877501298162
0,1,1.2288725812757768,5452809764,2,0.1573385926376574,0.6661567266260835,1.1477289088188385
18,4,-0.49161878216017973,642254959,2,-0.8280805679322217,1.3597087585116465,1.1477289088188385
3,4,-0.646618004091347,564960593,0,-0.4996075144089287,-1.4144993690306058,0.037605432751772
21,2,-0.3676194046152459,1817490257,1,0.8142846996842436,1.3597087585116465,-1.1650283329875502
1,2,0.9033742152203255,3450201947,0,-0.17113446088563564,-1.4144993690306058,-0.8874974639707834
7,4,-0.21262018268407867,1529925698,0,-1.1565536214555148,0.6661567266260835,-0.8874974639707834
15,2,-0.057620960752911426,1601691620,2,-1.3207901482171613,-0.7209473371450428,1.1477289088188385
0,0,-0.8016172260225142,227745048,0,0.1573385926376574,-0.02739530525947965,0.33826387418660253
2,3,-0.7086176928638138,263272626,1,-0.9923170946938683,1.3597087585116465,-1.1650283329875502
19,3,-0.1816203382978452,1754645845,0,-1.485026674978808,-0.7209473371450428,0.7776877501298162
1,4,-0.38311932680836264,1682591473,0,-0.4996075144089287,-0.7209473371450428,0.31513630176853863
7,1,-0.07312088294602814,2041975209,1,1.3069942799691832,-1.4144993690306058,-1.1650283329875502
18,1,-0.1816203382978452,1843765860,2,-0.4996075144089287,0.6661567266260835,1.1477289088188385
17,1,1.0583734371514928,4788265388,2,-0.006897934123989123,-1.4144993690306058,1.1477289088188385
3,3,-0.646618004091347,811421189,1,-0.3353709876472822,0.6661567266260835,-1.1650283329875502
3,4,-0.5536184709326466,541064618,2,0.1573385926376574,-0.02739530525947965,1.1477289088188385
1,6,-0.33661956022901246,1830858339,0,-0.17113446088563564,0.6661567266260835,-0.2399254362649946
9,1,1.9728688465453794,3728686549,1,0.8142846996842436,-1.4144993690306058,-1.1650283329875502
9,5,-0.6931177706706971,324931064,1,-0.9923170946938683,-1.4144993690306058,-1.1650283329875502
8,3,-0.46061893777394625,999503833,0,-0.9923170946938683,0.6661567266260835,0.7776877501298162
16,4,-0.8016172260225142,248975461,0,0.650048172922597,0.6661567266260835,-0.6562217397901446
14,6,-0.1816203382978452,1200847754,1,0.97852122644589,1.3597087585116465,-1.1650283329875502
0,1,0.23687756091630635,4007973999,2,0.32157511939930394,-1.4144993690306058,1.1477289088188385
5,6,-0.6776178484775804,486860628,0,1.635467333492476,0.6661567266260835,-0.47120116044563354
13,3,-0.33661956022901246,941444666,1,-0.006897934123989123,0.6661567266260835,-1.1650283329875502
4,4,-0.6001182375119968,677707743,1,1.1427577532075366,-1.4144993690306058,-1.1650283329875502
7,5,-0.646618004091347,315889745,2,0.48581164616095046,0.6661567266260835,1.1477289088188385
3,1,-0.15062049391161178,2268700558,0,-0.3353709876472822,-0.7209473371450428,0.014477860333708093
1,3,-0.41411917119459607,1784675944,2,-1.1565536214555148,0.6661567266260835,1.1477289088188385
